Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
113,2022/10607,Granted,CHAWARE Trushita S.; HOSUR Abhishek; HUMBARE Rishabh Humbare; KULKARNI Chaitanya; RAWANDALE Shitalkumar A.; RAWANDALE Ujjwala S.; SINHA Vaidehi Sinha,FOOD GRAIN MONITORING AND SHELF-LIFE PREDICTION SYSTEM FOR THE FARMER BASED ON IOT,Dr. Vishwanath Karad MIT World Peace University; RAWANDALE Ujjwala,9/26/2022,12/21/2022,2022/10607,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1Jf1C4UF-6evIAmP84Q39Js7dDoG6WC8T?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"2,12,9,13,8,3,17",https://docs.google.com/document/d/1bEzmqYqbxmjq8l1vxDdM23IP7vMp0AFc/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
114,2022/10608,Granted,SOMANI Sunil Brijalal; DHADDA Saloni; DUBEY Divyansh; KARAD Aditi; SYED Afraz,BRAINWAVE BASED HOME AUTOMATION SYSTEM WITH INTEGRATED ARTIFICIAL INTELLIGENCE,Dr. Vishwanath Karad MIT World Peace University; SOMANI Sunil Brijalal,9/26/2022,12/21/2022,2022/10608,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1SsG0dEC8P1XWETC5gCChQv4825PyGD7p?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,7,3,10,12,4,17",https://docs.google.com/document/d/101gl2zaW2i0H6BP-8fzvn2gwRC0x1d8d/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
115,2022/10828,Granted,SINGH Muskan; PATADE Rushikesh; AGGARWAL Era; CHELLANI Jatin; KAMTIKAR Monish,AN INTELLIGENT WEARABLE BAND FOR HEALTH MONITORING AND TRACKING,Dr. Vishwanath Karad MIT World Peace University; PATIL Seema;  JAGTAP Vandana; BAVISKAR Dipali Prashant,9/30/2022,11/30/2022,2022/10828,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1Mszmw9zKX9TfY4rU7YSmwbj6TBNyc8JN?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,10,9,7,4,11,17,12,8",https://docs.google.com/document/d/1C04aPOBP3wYLMiGNKlsHEkvUVTyOYWSM/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
116,2022/10666,Granted,DESHKAR Abhishek Jayesh; SONAWANI Shilpa; KULKARNI Siddhivinayak,SYSTEM TO EXTRACT MEDICINE NAME FROM MEDICINE STRIP,Dr. Vishwanath Karad MIT World Peace University; SONAWANI Shilpa,9/27/2022,12/21/2022,2022/10666,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1hrGuR7U0LyZi71_dw_TQzIvoNZaiViqN?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,10,4,8,12,17,1,11",https://docs.google.com/document/d/1OtXcNpW3o7HfnLY7BvYLaktHa1pQMhLf/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
117,2022/05423,Granted,"LOKHAND Netra M., MESHRAM Pratik",A machine learning based system for person identification using card system based on dental x-ray images,"Dr. Vishwanath Karad MIT World Peace University, LOKHANDE Netra M.",5/17/2022,10/26/2022,2022/05423,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1qPucClkDCmsNnbPyQ1KmHWUYXtHZrldp?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"3,16,9,11,17,10,12,8",https://docs.google.com/document/d/13Ju1UqEEMCO1KIcVc9NVJyHz_IcOsVR5/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
118,202021050707,Granted,"Swati Changdeo Jagdale, Anuruddha Rajaram Chabukswar, Suchita Prabhakar Dhamane,",Isoniazid loaded chitosan nanoparticles using vanillin as a crosslinker,"Swati Changdeo Jagdale, Anuruddha Rajaram Chabukswar, Suchita Prabhakar Dhamane,",11/21/2020,3/31/2022,394026,Dr. Vishwanath Karad MIT-World Peace University,https://drive.google.com/file/d/1-aCgtq8x11ZxJahSm29EfgIjc2sjk35C/view?usp=sharing,https://iprsearch.ipindia.gov.in/publicsearch,School of Pharmacy,India,,,,,,,,,,,,,,,,,,,,
119,2022/10771,Granted,"Ganesh Jadhav, Riya Mali",BICYCLE ATTACHMENT FOR ASSISTING STUDENTS IN CARRYING HEAVY SCHOOL BAGS WHILE CYCLING,"Dr. Vishwanath Karad MIT World Peace University, Ganesh Jadhav, Riya Mali",9/29/2022,12/21/2022,2022/10771,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ImIuRE_Npc9s3IpfRNWg6J9naLalRiFI/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Design,South Africa,,,,,,,,,,,,,,,,,,,,
120,2022/08360,Granted,Shilpa Samir Chapadgaonkar,A process for integrated production and purification of xylanase,"Dr. Vishwanath Karad MIT World Peace University, Shilpa Samir Chapadgaonkar",7/27/2022,10/26/2022,2022/08360,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1wIUSpyrx5lKteu8Uvtu8rscbhd22LOPI/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Department of Biosciences & Technology,South Africa,,,,,,,,,,,,,,,,,,,,
121,2022/08833,Granted,KUTTY Nithya N.; PATIL Rajeshree Narendra; LONDHE Rutuja,Method of extraction using sugar-organic acid based eutectic solvents for extraction of carotenoids from marigold flowers,"Dr. Vishwanath Karad MIT World Peace University, Nithya N. Kutty",8/8/2022,10/26/2022,2022/08833,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1DbX9zu9IVzjHrNo59lV8YNbJuUa8yOT0/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Department of Biosciences & Technology,South Africa,,,,,,,,,,,,,,,,,,,,
122,2022/08359,Granted,"Chandrashekhar Bobade, Shreeram Joglekar, Anish Rane, Nishant Apte",A Medicine Storage Box,"Dr. Vishwanath Karad MIT World Peace University, Chandrashekhar Bobade, Shreeram Joglekar, Anish Rane, Nishant Apte",7/27/2022,9/28/2022,2022/08359,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/13DYOcfIlhCNicRXWk_Okw8cbdMjdR7ud/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Department of Biosciences & Technology,South Africa,,,,,,,,,,,,,,,,,,,,
123,2022/08361,Granted,"Shreeram Joglekar, Anup Kale",A Novel method of piperine isolation,"Dr. Vishwanath Karad MIT World Peace University, Shreeram Joglekar, Anup Kale",7/27/2022,10/26/2022,2022/08361,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/135V94_-NJakIbujY6FAiJCF6N4rHOg3l/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Department of Biosciences & Technology,South Africa,,,,,,,,,,,,,,,,,,,,
124,202221028778,Published,"Anil Sahasrabudhe, Dr. Pravin Hujare, Dr. Deepak Hujare",Design and Development of Innovative multipurpose roaster machine,"Anil Sahasrabudhe, Dr. Pravin Hujare",5/19/2022,6/3/2022,22/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/10Gt4A11Zxe7riEpwYMXoj4cY3_Tmk_cc/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"8,9,12,7,3,11,13",https://docs.google.com/document/d/1MzYpdRr-ptkDe2-BfOMokYztA9OS3MWo/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
125,202221026117,Published,"Pradip Tamkhade, Pravin Hujare, Pratik Karkhanis, Deepak Hujare, Pooja Kohok, Govind Chavan, Adhikrao Patil, Ajay Chavan, Vivekanand Naikwadi",Design and Development of Car Seat Compel Mechanism ,"Pradip Tamkhade, Pravin Hujare, Prtik Karkhanis, Deepak Hujare, Pooja Kohok, Govind Chavan, Adhikrao Patil, Ajay Chavan, Vivekanand Naikwadi",5/5/2022,5/20/2022,20/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1gdWLD2f2I80G8CWeCgJPJ5Sdx36OWD-5/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"3,9,8,11,12,13",https://docs.google.com/document/d/1j706W-Rh0RIhgeHzR9ryDsz0ubXrabU6/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
126,202121046941,Published,"Shrishal Sollapur, Pratik Waghmare, Pravin Hujare, Deepak Hujare, Vivekanand Naikwadi",Design and Development of Modified Steering Rack Assembly in modern vehicle for straight wheel alignment,"Shrishal Sollapur, Pratik Waghmare, Pravin Hujare, Deepak Hujare, Vivekanand Naikwadi",10/14/2021,3/11/2022,10/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1wLiLafbCpq2o_DojQgL2WMebL8TzFdAW/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,11,12",https://docs.google.com/document/d/1WDIy1coiLC_pD4VIAjkZ3ngAtBZDDT-x/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
127,202121053913,Published,"Amit Nemade, Shubham Khopade, Nihal Gholap, Yash Patil, Shailendra Shisode",Floating suspension assembly for saddle of a bicycle,"Amit Nemade, Shubham Khopade, Nihal Gholap, Yash Patil, Shailendra Shisode",11/23/2021,6/3/2022,22/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1wMdyId1wykgvK-lxq03VGosFIym5N3u0/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"11,9,12,3,7,13",https://docs.google.com/document/d/1n501ia3VciOjpbluDi7Mtr4i4r9S8RjT/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
128,202221029677,Published,"Yash Keskar, Sudhanshu Manerikar, Sourabh Damkale, Shubhanga Kulkarni, Pratyaksha Pandey, Prerana Kolipaka, Prakash B. Joshi, Ganesh M. Kakandikar, Shrikant K. Yadav, Omkar K. Kulkarni",Autonomous Four-Wheeler Electric Vehicle,"Dr. Vishwanath Karad MIT World Peace University, Yash Keskar, Sudhanshu Manerikar, Sourabh Damkale, Shubhanga Kulkarni, Pratyaksha Pandey, Prerana Kolipaka, Prakash B. Joshi, Ganesh M. Kakandikar, Shrikant K. Yadav, Omkar K. Kulkarni",5/24/2022,6/10/2022,23/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1w_xrSsyXWkVeiBPyf5gjZyeUI2HWt1Xr/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9,11,12,13,3,8",https://docs.google.com/document/d/15PavqqdVp1_JWqx2DipC85a6b77hmFSn/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
129,202221033987,Published,"Amit Jomde, Chetan Patil, Gautam Narwade, Ganesh Shrigandhi, Prashant Patane",Reliability indicating apparatus for automobiles,"Dr. Vishwanth Karad MIT World Peace University, Amit Jomde, Chetan Patil, Gautam Narwade, Ganesh Shrigandhi, Prashant Patane",6/14/2022,7/8/2022,27/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1HKyHPZV1zBf9_d1_ziD1wdWHFTixD7qP/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"11,9,12,3,13,8",https://docs.google.com/document/d/18xHPfbmdMUFBeRODyX7u2npVOKqC3waq/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
130,202121029238,Published,"Vaibhav Narendra Deshmukh, Subramaniam Radhakrishnan, Vaidehi Vaibhav Deshmukh",System for thermal management of battery of vehicle,Dr. Vishwanath Karad MIT World Peace University,6/29/2021,7/22/2022,29/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Q87QENio8kLxSDL-D3CkHLUy-EFJhA-E/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9,11,12,13",https://docs.google.com/document/d/188gFUB_eBMpDpZGb81CdmbbyifKL6Y1-/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
131,202241037614,Published,"M. V. Ganeswara Rao, P. Satyanarayana Raju, Pappula Sampath Kumar, A.V.N.L. Sharma, S. Nanda Kumar, Tharkeshwar Appala, K. K. Resma",Cloud based hybrid grid tied solar vehicle super charging station,"M. V. Ganeswara Rao, P. Satyanarayana Raju, Pappula Sampath Kumar, A.V.N.L. Sharma. S. Nanda Kumar, Tharkeshwar Appala, K. K. Resma",6/30/2022,7/8/2022,27/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1gvN6-iwZPHqG6v27pB5pl5f8nFJrcM0I/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9 11,12,13",https://docs.google.com/document/d/1YxM-gzgenOboFHJKPSyD2M8jC6dS8i_F/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
132,202221018861,Published,"Nachiket Marne, Pranit Jadhav, Adhiraj Garg, Aakash Padval, Rajendra Pawar, Sachin Deshmukh",Design and Fabrication of a hexacopter using innovative T-links,"Nachiket Marne, Pranit Jadhav, Adhiraj Garg, Aakash Padval",3/30/2022,4/8/2022,14/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1x-UDrbzNcGog7XqtX8zYRLIygahH7BaF/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,11,13,8,12",https://docs.google.com/document/d/1jOi_oD_SzXabSkRJqEkjezt5Yju5hvqr/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
133,202221025249,Published,"Rajendra Pawar, Kishor Kolhe, Athrva padkar, Shashikant Ghumbre, Ratnadeep Deshmukh, Chakor Pandkar, Adity Singh",A system and method for music recommendation,"Dr. Vishwanath Karad  IT World Peace University, Rajendra Pawar, Atharva Pandkar",4/29/2022,5/13/2022,19/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1bIfaFnCPq-NJnymgUe3uDCxj7ICYTqBP/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"9,8,1,4,17",https://docs.google.com/document/d/1SI2KopKjDTLD_2P2I_tWDcERLiAuFJUZ/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
134,202241022513,Published,"Dr. S.Balamurugun, Vijaya Marakala, Ankur Biswas, S.Sujhatha, Prashant S. Lahane, Chamandeep Kaur, Venkata batchu, laika Satish, M. Meenakshi, Saptoshi Das",Intelligent wearable brain-Computer Engineering & Technology interface system to assist paralyzed people to perform human Computer Engineering & Technology interaction,"Dr. S.Balamurugun, Vijaya Marakala, Ankur Biswas, S.Sujhatha, Prashant S. Lahane, Chamandeep Kaur, Venkata batchu, laika Satish, M. Meenakshi, Saptoshi Das",4/15/2022,5/6/2022,18/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1VFG4Rw0J82Q-u86l7_8FgK7WPiFkMRA9/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,8,9,10,17",https://docs.google.com/document/d/1eJXDHRxoa7YJrtvyPlkZ0kGHSPYcgPVp/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
135,202221035086,Published,"Madhuri Deepak Dharrao, Amolkumar N. Jadhav, Vitthal S. Gutte, Hanmant Dnyandeo Magar, Chudaman Devidasrao Sukte, Yogesh R Kulkarni, Shiv Havgirao Sutar
",SPAM AND NON-SPAM URL DETECTION USING MACHINE LEARNING APPROACH,"Madhuri Deepak Dharrao, Amolkumar N. Jadhav, Vitthal S. Gutte, Hanmant Dnyandeo Magar, Chudaman Devidasrao Sukte, Yogesh R Kulkarni, Shiv Havgirao Sutar
",6/19/2022,11/11/2022,45/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1niTt0JcBY9dfYnjTy88lezyHtjghihed/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"9,11,16,17",https://docs.google.com/document/d/1hVsyQASbKqDNaSVwB72XYaO4NKFtFK3S/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
136,202221020581,Published,"Marut Asawa, Dipu Singh, Kshitij Bansal, Dr. Vinaya Gohokar",A system and method for monitoring windmill ,"Dr. Vishwanath Karad MIT World Peace University, Marut Asawa, Dipu Singh, Kshitij Bansal, Dr. Vinaya Gohokar",4/5/2022,4/22/2022,16/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1xF9KKfidjV-7vS6-fflE0VPghS-uvjVv/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"7,9,11,13,12",https://docs.google.com/document/d/1JxTOnCY2BUmyd624qLKFJNVI5RMNw1Ev/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
137,202221032181,Published,"Mahesh Tatikonda, Sandeep sathe, Sudhir Patil, Ingle G S, Sudhanshu Pathak, Sachin Mane, Aradhana Chavan",Decorative concrete slab,"Mahesh Tatikonda, Sandeep sathe, Sudhir Patil, Ingle G S, Sudhanshu Pathak, Sachin Mane, Aradhana Chavan",6/6/2022,6/24/2022,25/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1M9ort_FWfKrLqHb8QHXRQlf1WB9vx9jp/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Civil Engineering,India,"9,11,12,13,15",https://docs.google.com/document/d/1p-XNsUlIHMdq2CJckckyDh0zPgNMoxtb/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
138,202221023555,Published,"Dr. Nivedita Gogate, Dr. Deepti Marathe, Dr. Yogendra kanitkar, Dr. Amrut Joshi, Dr. Hemant Joshi",Plastic waste composite and method of making construction elements from plastic waste,"Dr. Vishwanath Karad MIT World Peace University, Dr. Nivedita Gogate, Dr. Deepti Marathe, Dr. Yogendra kanitkar, Dr. Amrut Joshi, Dr. Hemant Joshi, Prachetas Consultants and Contractors, LLP",4/21/2022,5/6/2022,18/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1jQgD1SyaQmaPhurrW4q6TDiB_7aWFZHk/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Civil Engineering,India,"9,11,12,13,14",https://docs.google.com/document/d/1VTJyidHXaanhtBFFY64uuchrA2V1f4V4/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
139,202121051789,Published,"Anjali Purohit, Vijay Gohokar",System and method for distance relay protection of transmission line,"Dr. Vishwanath Karad MIT World Peace University, Anjali Purohit ",11/11/2021,2/18/2022,07/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1wKyfgD7eGrppB1cmKQRZoNDqQSpOUjly/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"7,9,11,13",https://docs.google.com/document/d/1hdG3pj3EK_yjgDGwI1cJaRN8pYB8Ymvb/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
140,202221045342,Published,"Mrs. A.R.Sanap, Mrs. N.S.Dutte, Mrs. A.A.Bakare, Mrs. M.S.Joshi, Mrs.M.R. Kuveskar, Mrs.V.V. Pangave, Mrs. S.K.Pawar",An IOT Based System for Intelligent Winter Road Maintenance In Hilly Area,Dr. Vishwanath Karad MIT World Peace University,8/9/2022,8/19/2022,33/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1NjNTSb8bOlrQ-8Qjy1KI3SJOo2i7kSYE/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Polytechnic,India,"9,11,13,15",https://docs.google.com/document/d/1gozCCuGP6pee3dmwKg8CYXUsjs3nHsxv/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
141,202221068833,Published,"Dr. Dilip Kumar Sharma, Dr. Gayatri VijayendraBachhav, Prof Jyoti Ganesh Mante (Khurpade), Prof Prerna Patil (Wankhede), Prof Megha Dhotay, Prof Shilpa Budhavale, Dr Sanjivani Hemant Kulkarni, Aadesh Ajit Shinde, Dr G Saravana Kumar, Prof. Vaishali Langote",THE SECURE CHANNEL ESTABLISHMENT ALGORITHM FOR THE ISOLATION OF MISDIRECTION ATTACK IN THE IOT,"Dr. Dilip Kumar Sharma, Dr. Gayatri VijayendraBachhav, Prof Jyoti Ganesh Mante (Khurpade), Prof Prerna Patil (Wankhede), Prof Megha Dhotay, Prof Shilpa Budhavale, Dr Sanjivani Hemant Kulkarni, Aadesh Ajit Shinde, Dr G Saravana Kumar, Prof. Vaishali Langote",11/29/2022,12/9/2022,49/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1vLgT1iGwbCGTSLJATkFdTvFVRpy8nlmU/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Polytechnic,India,"9,11,12,13,3",https://docs.google.com/document/d/1s71ECQEYpdkUNvf7HlAeDywp-ChPnhe1/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
142,202221044249,Published,"Dr. Ravindra G Dabhade, Tushar Santosh Nikumbh, Dr. Ram Subbiah, Chikane Yogesh Ramdas, Dr. S. Ganesh Kumar, Dr. Sumit Bhattacharjee, Dr. Pasupuleti Subrahmanya Ranjit, Dr. Jarapala Murali Naik",ADDITIVE MANUFACTURINH THROUGH BINDER JETTING TECHNIQUE FOR BIOMEDICAL EQUIPMENT,"Dr. Ravindra G Dabhade, Tushar Santosh Nikumbh, Dr. Ram Subbiah, Chikane Yogesh Ramdas, Dr. S. Ganesh Kumar, Dr. Sumit Bhattacharjee, Dr. Pasupuleti Subrahmanya Ranjit, Dr. Jarapala Murali Naik",8/2/2022,8/19/2022,33/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1zoPUFHO-9KfxjVIecF9eYEhQJTConuRq/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Polytechnic,India,"3,9,12,13",https://docs.google.com/document/d/1HkjkGR6KCI1BiApdlDvONyBOrszZUKq7/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
143,202231059943,Published,"Dr. Atowar Ul Islam, Banda Hari, Dr. Brijesh Kumar, Prof. Dhiresh S Shastri, Krishna Nand Mishra, Dr. C. Manivel, Mr. Sumanth Ratna. Kandavalli, Dr. Pradeep Johnson, S.Nishanth, Likitha Chowdary Botta, Mr. L. Karthick",INTERNET OF THINGS IN ADVANCED MANUFACTURING,"Dr. Atowar Ul Islam, Banda Hari, Dr. Brijesh Kumar, Prof. Dhiresh S Shastri, Krishna Nand Mishra, Dr. C. Manivel, Mr. Sumanth Ratna. Kandavalli, Dr. Pradeep Johnson, S.Nishanth, Likitha Chowdary Botta, Mr. L. Karthick",10/20/2022,11/4/2022,44/2022,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1fXy4zmU1VhPz16XoFRnXIyC0nylPTOp0/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Polytechnic,India,"2,9,12,13",https://docs.google.com/document/d/1h4scv6y485QuVM0_NfiiaKJAws3g0RWI/edit?usp=drive_link&ouid=100055678884218092676&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
